"h_a","xG","xGA","npxG","npxGA","ppda","ppda_allowed","deep","deep_allowed","scored","missed","xpts","result","date","wins","draws","loses","pts","npxGD","league","season","teams"
"a",2.09987,1.3187,2.09987,1.3187,14.6666666666667,11,7,5,2,2,1.9369,"d","2024-08-16 19:30:00",0,1,0,1,0.78117,"La_liga","2024","Sevilla"
"h",1.23826,1.39825,1.23826,1.39825,6.85185185185185,23.2666666666667,4,4,1,2,1.2057,"l","2024-08-23 19:30:00",0,0,1,0,-0.15999,"La_liga","2024","Sevilla"
"a",0.60976,0.940858,0.60976,0.940858,13.5,13.4090909090909,7,3,0,0,0.9771,"d","2024-08-27 17:00:00",0,1,0,1,-0.331098,"La_liga","2024","Sevilla"
"h",0.812687,2.36355,0.812687,1.62028,16.5625,8.48387096774194,5,5,0,2,0.3138,"l","2024-09-01 17:00:00",0,0,1,0,-0.807593,"La_liga","2024","Sevilla"
"h",1.64801,0.971555,1.64801,0.971555,5.52380952380952,8.07142857142857,3,1,1,0,1.9359,"w","2024-09-14 16:30:00",1,0,0,3,0.676455,"La_liga","2024","Sevilla"
"a",0.623937,1.40641,0.623937,1.40641,7.61538461538461,13.5833333333333,3,4,1,2,0.5211,"l","2024-09-20 19:00:00",0,0,1,0,-0.782473,"La_liga","2024","Sevilla"
"h",1.67099,0.411515,1.67099,0.411515,7.23809523809524,11.9375,8,3,2,1,2.3604,"w","2024-09-24 17:00:00",1,0,0,3,1.259475,"La_liga","2024","Sevilla"
"a",1.24147,1.82961,1.24147,1.82961,8.77777777777778,10.6428571428571,4,5,1,1,0.9153,"d","2024-09-29 14:15:00",0,1,0,1,-0.58814,"La_liga","2024","Sevilla"
"h",1.8284,0.436615,1.08512,0.436615,10.1818181818182,11.7368421052632,3,6,1,0,2.5163,"w","2024-10-06 16:30:00",1,0,0,3,0.648505,"La_liga","2024","Sevilla"
"a",0.599652,4.08528,0.599652,3.342,14.12,6.24137931034483,2,14,1,5,0.0351,"l","2024-10-20 19:00:00",0,0,1,0,-2.742348,"La_liga","2024","Sevilla"
"a",0.813306,1.0292,0.813306,1.0292,17.4,10.4642857142857,4,5,2,0,1.2197,"w","2024-10-25 19:00:00",1,0,0,3,-0.215894,"La_liga","2024","Sevilla"
"h",0.629505,1.21835,0.629505,0.475072,16.75,15.2941176470588,1,0,0,2,0.7386,"l","2024-11-03 17:30:00",0,0,1,0,0.154433,"La_liga","2024","Sevilla"
"a",0.539924,1.09319,0.539924,0.349909,8.08,18.6875,5,3,0,1,0.733,"l","2024-11-09 21:00:00",0,0,1,0,0.190015,"La_liga","2024","Sevilla"
"h",1.57063,0.862262,1.57063,0.862262,11.6315789473684,10.5454545454545,7,1,1,0,1.946,"w","2024-11-24 15:15:00",1,0,0,3,0.708368,"La_liga","2024","Sevilla"
"h",1.09081,1.04839,1.09081,1.04839,6.94444444444444,18.7142857142857,6,1,1,1,1.3577,"d","2024-12-02 20:00:00",0,1,0,1,0.0424200000000001,"La_liga","2024","Sevilla"
"a",0.635773,2.32183,0.635773,2.32183,24.3125,13.52,2,6,3,4,0.3116,"l","2024-12-08 20:00:00",0,0,1,0,-1.686057,"La_liga","2024","Sevilla"
"h",0.487466,0.928845,0.487466,0.928845,10.1,14.5294117647059,3,6,1,0,0.8755,"w","2024-12-14 17:30:00",1,0,0,3,-0.441379,"La_liga","2024","Sevilla"
